Root,Root,Root,Root,Hips,Hips,Hips,Hips,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftShin,LeftShin,LeftShin,LeftShin,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftToe,LeftToe,LeftToe,LeftToe,RightThigh,RightThigh,RightThigh,RightThigh,RightShin,RightShin,RightShin,RightShin,RightFoot,RightFoot,RightFoot,RightFoot,RightToe,RightToe,RightToe,RightToe,Spine1,Spine1,Spine1,Spine1,Spine2,Spine2,Spine2,Spine2,Spine3,Spine3,Spine3,Spine3,Spine4,Spine4,Spine4,Spine4,LeftShoulder,LeftShoulder,LeftShoulder,LeftShoulder,LeftArm,LeftArm,LeftArm,LeftArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftForeArm,LeftHand,LeftHand,LeftHand,LeftHand,Neck,Neck,Neck,Neck,Head,Head,Head,Head,RightShoulder,RightShoulder,RightShoulder,RightShoulder,RightArm,RightArm,RightArm,RightArm,RightForeArm,RightForeArm,RightForeArm,RightForeArm,RightHand,RightHand,RightHand,RightHand,MotionType
6.66E-08,0,0,1,0.01018334,0.004040779,0.004061508,0.9999318,0.005464891,-0.7083086,-0.002039089,-0.7058789,4.89E-08,7.25E-07,0.05852154,0.9982861,-0.5634483,-0.4365638,0.4995033,-0.4923763,-0.001756532,5.50E-08,-4.55E-08,0.9999984,-0.01517824,-0.72487,0.006864977,0.6886842,1.04E-07,-0.000272743,-0.06442814,0.9979222,-0.5582136,0.4420492,-0.4967507,-0.4962147,-0.00175268,1.96E-09,3.03E-08,0.9999988,0.001571736,0.003244027,0.9999913,0.002121774,0.003244092,-0.001571764,-0.002121856,0.9999913,0.003253773,-0.001576455,-0.002128189,0.9999912,0,0,0,0.9999999,0.07896355,0.08954242,0.7070752,0.6969874,0.5087933,-0.5193589,-0.4710174,-0.4995385,-0.007449535,0.09412453,-0.07467056,0.9927285,0.02803936,0.1412181,-0.03464959,0.9889748,-0.02534402,-0.01586053,-0.009164982,0.999511,-0.02534403,-0.01586051,-0.009164979,0.9995112,0.08966565,-0.09260919,-0.709406,0.6929116,-0.4808204,-0.5397921,-0.4725094,0.504154,-0.01965661,-0.08130082,0.06729932,0.9942209,0.06736524,-0.1109753,0.06439529,0.9894445,1
6.66E-08,0,0,1,0.01035259,0.004350085,0.004012533,0.999929,0.005236708,-0.7083018,-0.002371629,-0.7058868,1.95E-08,5.08E-07,0.05759202,0.9983407,-0.5634437,-0.4367298,0.4991231,-0.4926209,-0.00175649,-6.55E-08,-7.03E-08,0.9999988,-0.01516464,-0.7248229,0.006971209,0.6887334,-6.78E-09,-0.000292945,-0.06430329,0.9979305,-0.5578856,0.4422898,-0.4969252,-0.4961946,-0.001753313,4.51E-08,-5.29E-08,0.9999988,0.001547271,0.003217901,0.9999916,0.002117219,0.003217962,-0.001547296,-0.002117301,0.9999917,0.003227571,-0.001551919,-0.002123622,0.9999917,0,0,0,1,0.07897838,0.08947291,0.7070016,0.6970698,0.5090218,-0.5192198,-0.4710314,-0.4994376,-0.007476928,0.0939359,-0.07482653,0.9927346,0.02823893,0.1413935,-0.03450187,0.9889494,-0.02544041,-0.01589982,-0.009111744,0.9995087,-0.0254404,-0.0158998,-0.009111735,0.9995087,0.08969292,-0.09248234,-0.7092752,0.6930596,-0.4809141,-0.5398479,-0.4723801,0.5041265,-0.01979149,-0.08120777,0.0671698,0.9942346,0.06731787,-0.1108828,0.0645643,0.9894471,1
6.66E-08,0,0,1,0.01055254,0.004737161,0.003905028,0.9999255,0.005175125,-0.7082092,-0.002612257,-0.7059791,5.44E-08,4.66E-07,0.0568339,0.9983839,-0.563469,-0.4369387,0.4987328,-0.4928012,-0.001756733,-7.91E-09,-5.37E-08,0.9999986,-0.0152076,-0.7248443,0.007197583,0.6887074,1.33E-08,-0.000293363,-0.06421703,0.9979362,-0.5576512,0.442472,-0.4971269,-0.4960939,-0.001753309,2.96E-09,1.63E-07,0.9999988,0.001481694,0.003203297,0.9999917,0.00206567,0.003203345,-0.00148172,-0.002065748,0.9999917,0.003212916,-0.001486144,-0.002071918,0.9999915,0,0,0,0.9999999,0.0788602,0.08925342,0.7068428,0.6972719,0.5091886,-0.5189568,-0.4711781,-0.4994022,-0.007496953,0.09388786,-0.07489968,0.9927335,0.02824714,0.1413759,-0.03416745,0.9889634,-0.02555342,-0.01595759,-0.009099065,0.9995047,-0.02555344,-0.01595766,-0.009099083,0.9995049,0.08980684,-0.09243449,-0.7092497,0.6930771,-0.4810056,-0.5398643,-0.4722868,0.5041091,-0.01981512,-0.08110541,0.06705727,0.9942501,0.06761999,-0.1110786,0.0644396,0.9894124,1
6.66E-08,0,0,1,0.01071862,0.004978075,0.003960596,0.9999223,0.005277488,-0.7080932,-0.002435857,-0.706095,5.29E-08,6.09E-07,0.05681197,0.998385,-0.5635049,-0.4369555,0.4986875,-0.4927913,-0.00175677,-4.23E-09,-7.81E-08,0.9999987,-0.01514798,-0.7248136,0.00709494,0.6887419,2.02E-08,-0.00027503,-0.06348277,0.9979832,-0.5572951,0.4427066,-0.4972102,-0.4962014,-0.001753605,-3.37E-08,-8.10E-08,0.9999989,0.001460897,0.003160353,0.9999918,0.002074582,0.003160408,-0.00146092,-0.00207466,0.9999919,0.003169848,-0.001465283,-0.002080856,0.999992,0,0,0,1,0.07884251,0.08904987,0.7067847,0.6973592,0.5093445,-0.518815,-0.4711194,-0.4994458,-0.007522601,0.0939062,-0.07462311,0.9927522,0.02853717,0.1414901,-0.03404268,0.9889429,-0.02562168,-0.0160593,-0.009056944,0.999502,-0.02562169,-0.01605935,-0.00905694,0.9995018,0.08995396,-0.09247808,-0.7092825,0.6930188,-0.4811034,-0.5398353,-0.4722332,0.5040969,-0.01974813,-0.08095193,0.06703962,0.9942651,0.06779622,-0.1111477,0.06432652,0.9894003,1
6.66E-08,0,0,1,0.01088355,0.005085213,0.004240376,0.9999189,0.005484574,-0.7081153,-0.001815093,-0.7060733,-2.44E-08,1.39E-07,0.05748424,0.9983466,-0.5637249,-0.436626,0.4987748,-0.4927436,-0.001756818,1.29E-08,-7.21E-08,0.9999987,-0.01500321,-0.7247502,0.0065869,0.6888171,-4.99E-08,-0.000234982,-0.06200765,0.9980759,-0.5567998,0.4431398,-0.4970645,-0.4965165,-0.001753647,-3.37E-08,-5.54E-08,0.9999987,0.001485183,0.00311003,0.9999918,0.002174173,0.00311008,-0.001485207,-0.002174211,0.9999919,0.003119371,-0.001489645,-0.002180789,0.9999917,0,0,0,0.9999999,0.07896522,0.08893272,0.7067969,0.6973476,0.5094428,-0.5189469,-0.4711375,-0.4991916,-0.007414121,0.09391257,-0.07450368,0.9927616,0.02880991,0.1414808,-0.03412411,0.9889337,-0.0256894,-0.01615522,-0.008980963,0.9994991,-0.0256894,-0.01615525,-0.008980966,0.9994993,0.09003008,-0.0926818,-0.7093169,0.6929464,-0.4812783,-0.5397189,-0.4720751,0.504203,-0.01980958,-0.08072285,0.06713135,0.9942766,0.0678931,-0.1112384,0.06399679,0.9894053,1
6.66E-08,0,0,1,0.01110002,0.005201748,0.004524854,0.9999146,0.005738569,-0.7081983,-0.001194727,-0.7059894,4.21E-08,1.26E-07,0.05811973,0.9983097,-0.5639814,-0.4362704,0.4988182,-0.4927205,-0.001756612,-2.13E-08,2.04E-08,0.9999985,-0.01490021,-0.7247217,0.006171239,0.688853,8.09E-08,-0.000173918,-0.06061509,0.9981614,-0.5563054,0.4436565,-0.4968639,-0.4968095,-0.001753772,1.34E-09,-5.81E-08,0.9999985,0.001528542,0.003084131,0.9999915,0.002281866,0.003084187,-0.00152857,-0.002281982,0.9999914,0.003093397,-0.001533132,-0.002288731,0.9999914,0,0,0,1,0.07905188,0.08883755,0.7068395,0.6973069,0.5094918,-0.5190933,-0.4711834,-0.498946,-0.007140381,0.09390517,-0.07482048,0.9927405,0.02872966,0.1412564,-0.03396513,0.9889733,-0.02577471,-0.01621833,-0.008883831,0.9994969,-0.02577469,-0.01621841,-0.00888383,0.9994969,0.08996709,-0.09276771,-0.7093081,0.6929521,-0.4813119,-0.5395829,-0.4719571,0.5044265,-0.02006346,-0.0805179,0.06726357,0.9942789,0.06789342,-0.1111414,0.06404696,0.9894125,1
6.66E-08,0,0,1,0.0112351,0.005348123,0.004631848,0.9999118,0.005892314,-0.7082644,-0.000997059,-0.7059219,-6.81E-09,1.32E-07,0.05820977,0.9983044,-0.5641109,-0.4361622,0.4987035,-0.4927843,-0.001756521,4.48E-08,6.80E-08,0.9999986,-0.0148181,-0.7247848,0.006082761,0.688789,3.83E-08,-0.000111686,-0.05990358,0.9982042,-0.5559947,0.4440227,-0.496736,-0.4969577,-0.001753637,-1.26E-07,5.68E-09,0.9999983,0.001556753,0.003022892,0.9999915,0.002299411,0.003022942,-0.001556778,-0.002299492,0.9999917,0.003031971,-0.001561425,-0.002306359,0.9999917,0,0,0,1,0.07914238,0.08864324,0.7067758,0.6973861,0.5095458,-0.5191856,-0.4712622,-0.4987208,-0.007006769,0.09384654,-0.0750063,0.9927331,0.02871132,0.1410679,-0.03387292,0.989004,-0.02578678,-0.01622522,-0.008858933,0.9994969,-0.0257868,-0.01622519,-0.008858937,0.9994969,0.08992792,-0.09278693,-0.7093481,0.6929137,-0.4813584,-0.5393761,-0.4719534,0.5046065,-0.02029065,-0.08034456,0.06733163,0.9942838,0.06806737,-0.111179,0.06396362,0.9894018,1
6.66E-08,0,0,1,0.01137303,0.005505578,0.004750745,0.9999089,0.006125438,-0.7082186,-0.000769099,-0.7059664,-5.09E-09,-3.71E-08,0.05845074,0.9982905,-0.5641803,-0.4360618,0.4987245,-0.4927725,-0.001756356,-6.05E-08,1.56E-10,0.9999986,-0.0147555,-0.7247673,0.006077453,0.6888091,4.29E-08,-8.22E-05,-0.05932818,0.9982386,-0.5556885,0.444431,-0.4967068,-0.4969648,-0.001753338,-5.35E-08,-1.87E-09,0.9999987,0.00160313,0.002966088,0.9999918,0.002308458,0.002966137,-0.001603158,-0.002308541,0.9999918,0.002974992,-0.001607939,-0.002315434,0.9999918,0,0,0,1,0.07922627,0.08857638,0.7066344,0.6975282,0.5096308,-0.5192394,-0.4713638,-0.4984808,-0.006928071,0.09376257,-0.07504237,0.9927382,0.02880398,0.1410462,-0.03388408,0.9890037,-0.02566814,-0.01613135,-0.008819529,0.9995015,-0.02566818,-0.01613143,-0.008819535,0.9995016,0.08987314,-0.09273335,-0.7094361,0.6928374,-0.481372,-0.5392361,-0.4719855,0.5047132,-0.02051233,-0.08019201,0.06739782,0.9942873,0.06842697,-0.1114063,0.06393915,0.9893528,1
6.66E-08,0,0,1,0.01153006,0.005620893,0.004928199,0.9999056,0.006451442,-0.708254,-0.00040416,-0.7059281,-7.39E-10,-1.45E-07,0.05893394,0.9982619,-0.5643414,-0.4359039,0.4987272,-0.4927248,-0.001756476,1.01E-08,5.57E-08,0.9999985,-0.01472952,-0.7246746,0.006068727,0.6889071,-8.74E-08,-7.95E-05,-0.05873076,0.998274,-0.5552882,0.4448385,-0.4967968,-0.4969577,-0.00175299,-1.11E-08,5.11E-08,0.9999985,0.001639582,0.002919124,0.9999917,0.00234117,0.002919165,-0.00163961,-0.002341254,0.9999919,0.002927884,-0.001644501,-0.002348244,0.9999919,0,0,0,1,0.07927006,0.08847208,0.7065215,0.6976508,0.5096885,-0.5192958,-0.4714521,-0.4982803,-0.006924901,0.09364022,-0.07497343,0.9927555,0.02895458,0.1410649,-0.03405596,0.9889911,-0.02556419,-0.01606791,-0.008786696,0.9995058,-0.02556421,-0.0160679,-0.008786702,0.999506,0.08987214,-0.09274748,-0.7095174,0.6927528,-0.4813578,-0.5391123,-0.471994,0.504851,-0.0206883,-0.08015482,0.06757931,0.9942739,0.06871958,-0.1117502,0.06372445,0.9893075,1
6.66E-08,0,0,1,0.01162133,0.005904016,0.004754039,0.9999037,0.006631482,-0.7081968,-0.00068083,-0.7059836,-9.60E-08,-6.45E-08,0.05838266,0.9982944,-0.56424,-0.4360332,0.4984573,-0.4929996,-0.001756215,9.53E-08,4.31E-08,0.9999986,-0.0149118,-0.724635,0.006737506,0.6889385,-7.10E-08,-8.24E-05,-0.05942318,0.998233,-0.5550365,0.4448449,-0.497183,-0.4968468,-0.001753324,-1.99E-08,2.43E-08,0.9999985,0.001621655,0.002860212,0.999992,0.002232274,0.002860263,-0.001621679,-0.002232356,0.9999922,0.002868805,-0.00162653,-0.002239021,0.9999923,0,0,0,1,0.07928176,0.08839069,0.7063688,0.6978143,0.5097926,-0.5193067,-0.4714107,-0.4982011,-0.00688398,0.09349592,-0.07490018,0.9927749,0.02881706,0.1409315,-0.03413419,0.9890114,-0.02560521,-0.01602257,-0.008828195,0.9995049,-0.02560521,-0.01602266,-0.008828207,0.9995049,0.08979575,-0.09280311,-0.7096538,0.6926156,-0.4814147,-0.5389931,-0.4719616,0.5049545,-0.02085659,-0.08018357,0.06781246,0.9942522,0.0691101,-0.1120991,0.06335133,0.9892648,1
6.66E-08,0,0,1,0.01178699,0.0063731,0.004400237,0.9999006,0.006860538,-0.7080652,-0.001149171,-0.706113,6.67E-08,-3.72E-08,0.05746288,0.9983478,-0.5640832,-0.4363315,0.4980554,-0.4933216,-0.001756376,-9.74E-10,6.24E-09,0.9999988,-0.01530178,-0.7246831,0.007836339,0.6888677,4.51E-08,-0.000109957,-0.06079489,0.9981502,-0.5548264,0.4446433,-0.497716,-0.4967281,-0.00175383,-5.72E-08,6.34E-09,0.9999987,0.001541606,0.002820347,0.9999927,0.002050345,0.00282039,-0.001541629,-0.002050418,0.9999926,0.002828822,-0.001546236,-0.002056546,0.9999927,0,0,0,1,0.07926354,0.08830214,0.7061948,0.6980041,0.5099725,-0.5191396,-0.4712282,-0.4983645,-0.00689118,0.09345261,-0.0747434,0.9927909,0.02829404,0.1406194,-0.03407771,0.9890732,-0.02563465,-0.01600542,-0.008906575,0.9995038,-0.02563465,-0.01600536,-0.008906568,0.9995037,0.08982784,-0.09277004,-0.7097762,0.6924904,-0.4814524,-0.5389566,-0.4719851,0.5049356,-0.02103158,-0.08026259,0.06796701,0.9942318,0.06948517,-0.1124839,0.0629825,0.9892185,1
